Source_File,Date_Added,Supermarket,Product_Category,Product_ID,Product_Name,Brand,Product_Price,Price_Per_Unit,Weight_g,Price_Per_kg,Energy_kcal_100_g,Fats_In_Product_g,Carbs_In_Product_g,Sugars_In_Product_g,Protein_In_Product_g,Salt_In_Product_g
hipro-protein-skyr-stijl-vanille-450g-478256CUP.html,2026-06-26,Jumbo,Yoghurt,478256CUP,HiPRO_Protein_Skyr_Stijl_Vanille_450g,HiPRO,3.0,6.6,450.3,6.7,53.8,0.5,16.2,14.0,42.3,0.4
hipro-proteine-skyr-stijl-stracciatella-450-g-521733CUP.html,2026-06-26,Jumbo,Yoghurt,521733CUP,HiPRO_Proteïne_Skyr_Stijl_Stracciatella_450_g,HiPRO,3.0,6.6,450.3,6.7,57.1,2.3,16.2,14.0,42.3,0.5
isey-skyr-air-chocolate-coconut-125-g-715102CUP.html,2026-06-26,Jumbo,Yoghurt,715102CUP,Ísey_Skyr_Air_Chocolate-Coconut_125_g,Ísey,1.7,13.5,125.0,13.6,78.9,,4.4,,11.4,0.2
isey-skyr-air-mousse-passionfruit-125-g-715063CUP.html,2026-06-26,Jumbo,Yoghurt,715063CUP,Ísey_Skyr_Air_Mousse_Passionfruit_125_g,Ísey,1.7,13.5,125.0,13.6,71.5,,5.1,,10.6,0.2
isey-skyr-air-mousse-stracciatella-125-g-652299CUP.html,2026-06-26,Jumbo,Yoghurt,652299CUP,Ísey_Skyr_Air_Mousse_Stracciatella_125_g,Ísey,1.7,13.5,125.0,13.6,73.6,,4.2,,10.5,0.2
isey-skyr-banana-toffee-125-g-603608CUP.html,2026-06-26,Jumbo,Yoghurt,603608CUP,Ísey_Skyr_Banana_-_Toffee_125_g,Ísey,1.7,13.5,125.0,13.6,75.0,,6.2,,10.6,0.2
isey-skyr-blueberry-pie-400g-494994CUP.html,2026-06-26,Jumbo,Yoghurt,494994CUP,Ísey_Skyr_Blueberry_Pie_400g,Ísey,3.0,7.5,399.7,7.5,62.9,,20.8,,38.4,0.3
isey-skyr-cherry-cheesecake-140-g-715065ZK.html,2026-06-26,Jumbo,Yoghurt,715065ZK,Ísey_Skyr_Cherry_Cheesecake_140_g,Ísey,1.9,13.5,140.0,13.6,75.0,,6.0,,13.0,0.2
isey-skyr-cherry-chocolate-125-g-603609CUP.html,2026-06-26,Jumbo,Yoghurt,603609CUP,Ísey_Skyr_Cherry_-_Chocolate_125_g,Ísey,1.7,13.5,125.0,13.6,82.0,3.9,5.9,5.4,10.9,0.2
isey-skyr-creme-brulee-170g-578698STK.html,2026-06-26,Jumbo,Yoghurt,578698STK,Ísey_Skyr_Crème_Brûlée_170g,Ísey,1.9,11.1,170.0,11.2,77.0,,6.8,,16.2,0.2
isey-skyr-lactose-free-aardbei-witte-chocolade-400-g-456491CUP.html,2026-06-26,Jumbo,Yoghurt,456491CUP,Ísey_Skyr_Lactose_Free_Aardbei-Witte_Chocolade_400_g,Ísey,3.0,7.5,399.7,7.5,84.6,,17.2,,34.0,0.4
isey-skyr-lactose-free-vanille-400-g-634432CUP.html,2026-06-26,Jumbo,Yoghurt,634432CUP,Ísey_Skyr_Lactose_Free_Vanille_400_g,Ísey,3.0,7.5,399.7,7.5,55.9,0.8,14.4,12.4,38.8,0.5
isey-skyr-lemon-cheesecake-170g-578248CUP.html,2026-06-26,Jumbo,Yoghurt,578248CUP,Ísey_Skyr_Lemon_Cheesecake_170g,Ísey,1.9,11.1,170.0,11.2,60.0,,8.2,,16.2,0.3
isey-skyr-lemon-cheesecake-6-x-170g-578248TRL.html,2026-06-26,Jumbo,Yoghurt,578248TRL,Isey_Skyr_Lemon-Cheesecake_6_x_170g,Isey,11.3,11.1,1019.8,11.1,60.0,,49.0,,96.9,2.0
isey-skyr-mandarin-pie-140-g-578263ZK.html,2026-06-26,Jumbo,Yoghurt,578263ZK,Ísey_Skyr_Mandarin_Pie_140_g,Ísey,1.9,13.5,140.0,13.6,71.7,,5.7,,12.5,0.2
isey-skyr-mango-matcha-170g-753523CUP.html,2026-06-26,Jumbo,Yoghurt,753523CUP,Ísey_Skyr_Mango-Matcha_170g,Ísey,1.9,11.1,170.0,11.2,75.0,3.7,7.3,6.8,15.8,0.3
isey-skyr-mango-panna-cotta-400-g-715068CUP.html,2026-06-26,Jumbo,Yoghurt,715068CUP,Ísey_Skyr_Mango_Panna_Cotta_400_g,Ísey,3.0,7.5,399.7,7.5,75.0,,16.8,,37.6,0.3
